ID;Учреждение;Адрес;ИНН;Категория;Код
4510;БУ «Мемориальный комплекс летчика-космонавта СССР А. Г. Николаева»;Чувашская республика Чувашия, Мариинско-Посадский р-н, с Шоршелы, ул Парковая, д 14;2111007527.0;Музеи и галереи;21
4511;ФГБУК «Государственный музей-заповедник М. А. Шолохова»;Ростовская обл, Шолоховский р-н, ст-ца Вешенская, ул Шолохова, д 60;6139001307.0;Музеи и галереи;61
4514;ФГБУК «Государственный военно-исторический музей-заповедник «Прохоровское поле»;Белгородская обл, Прохоровский р-н, пгт Прохоровка, ул Парковая, д 47;3115002923.0;Музеи и галереи;31
4515;ФГБУК «Государственный музей истории религии»;г Санкт-Петербург, ул Почтамтская, д 14;7808006920.0;Музеи и галереи;78
4517;ГАУК «Музей дятьковского хрусталя»;Брянская обл, Дятьковский р-н, г Дятьково, ул Ленина, д 159;3202012893.0;Музеи и галереи;32
4518;ГБУК «Тверская областная картинная галерея»;Тверская обл, г Тверь, ул Советская, д 3;6905036413.0;Музеи и галереи;69
4519;ГБУК «Мордовский республиканский музей изобразительных искусств им. С. Д. Эрьзи»;Респ Мордовия, г Саранск, ул Коммунистическая, д 61;1326047246.0;Музеи и галереи;13
4520;СПб ГБУ «Музей «Нарвская застава»;г Санкт-Петербург, ул Ивана Черных, д 23;7805039099.0;Музеи и галереи;78
4521;ГАУК МО «Серпуховский историко-художественный музей»;Московская обл, г Серпухов, ул Чехова, д 87;5043009600.0;Музеи и галереи;50
4524;ФГБУК «Государственный Русский музей»;г Санкт-Петербург, ул Инженерная, д 4;7830002230.0;Музеи и галереи;78
4525;ФГБУК «Государственный лермонтовский музей-заповедник «Тарханы»;Пензенская обл, Белинский р-н, с Лермонтово, ул Бугор, д 1/1;5810001139.0;Музеи и галереи;58
4526;ГБУК «Государственный мемориальный музей А. В. Суворова»;г Санкт-Петербург, ул Кирочная, д 43;7815016767.0;Музеи и галереи;78
4527;ГБУК Московской области «Государственный музей-заповедник «Зарайский кремль»;Московская обл, Зарайский р-н, г Зарайск, пл Революции, д 2;5014007157.0;Музеи и галереи;50
4529;ГБУК «Краеведческий музей г. Менделеевск»;Респ Татарстан, Менделеевский р-н, г Менделеевск, ул Гассара, д 1;1627005056.0;Музеи и галереи;16
4530;ГБУК АО «Архангельский краеведческий музей»;Архангельская обл, г Архангельск, наб Северной Двины, д 85/86;2901070783.0;Музеи и галереи;29
4531;МБУК «Музей истории города Йошкар-Олы»;Респ Марий Эл, г Йошкар-Ола, ул Вознесенская, д 39;1215050740.0;Музеи и галереи;12
4533;МВО «Манеж»;г Москва, Манежная пл, д 1;7710170225.0;Музеи и галереи;77
4534;ТОГБУК «Музей-заповедник С. В. Рахманинова «Ивановка»;Тамбовская обл, Уваровский р-н, д Ивановка;6829005957.0;Музеи и галереи;68
4535;КГБУК «Дальневосточный художественный музей»;Хабаровский край, г Хабаровск, ул Шевченко, д 7;2721024643.0;Музеи и галереи;27
4537;ГБУ ЯНАО «Ямало-Ненецкий окружной музейно-выставочный комплекс имени И. С. Шемановского»;Ямало-Ненецкий АО, г Салехард, ул Чубынина, д 38;8901014010.0;Музеи и галереи;89
